Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Oct 31 2006,7:30 PM,Phoenix Suns,106,Los Angeles Lakers,114,Box Score,,
Tue Oct 31 2006,8:00 PM,Chicago Bulls,108,Miami Heat,66,Box Score,,
Wed Nov 1 2006,7:30 PM,New Orleans/Oklahoma City Hornets,91,Boston Celtics,87,Box Score,,
Wed Nov 1 2006,7:00 PM,Indiana Pacers,106,Charlotte Bobcats,99,Box Score,,
Wed Nov 1 2006,8:00 PM,Washington Wizards,94,Cleveland Cavaliers,97,Box Score,,
Wed Nov 1 2006,8:00 PM,Milwaukee Bucks,105,Detroit Pistons,97,Box Score,,
Wed Nov 1 2006,7:30 PM,Los Angeles Lakers,110,Golden State Warriors,98,Box Score,,
Wed Nov 1 2006,7:00 PM,New York Knicks,118,Memphis Grizzlies,117,Box Score,3OT,
Wed Nov 1 2006,7:00 PM,Sacramento Kings,83,Minnesota Timberwolves,92,Box Score,,
Wed Nov 1 2006,7:30 PM,Toronto Raptors,92,New Jersey Nets,102,Box Score,,
Wed Nov 1 2006,7:00 PM,Chicago Bulls,94,Orlando Magic,109,Box Score,,
Wed Nov 1 2006,7:00 PM,Atlanta Hawks,75,Philadelphia 76ers,88,Box Score,,
Wed Nov 1 2006,8:30 PM,Los Angeles Clippers,104,Phoenix Suns,112,Box Score,,
Wed Nov 1 2006,7:00 PM,Portland Trail Blazers,110,Seattle SuperSonics,106,Box Score,,
Wed Nov 1 2006,7:00 PM,Houston Rockets,97,Utah Jazz,107,Box Score,,
Thu Nov 2 2006,7:00 PM,San Antonio Spurs,97,Dallas Mavericks,91,Box Score,,
Thu Nov 2 2006,7:30 PM,Denver Nuggets,95,Los Angeles Clippers,96,Box Score,,
Fri Nov 3 2006,7:30 PM,New York Knicks,92,Atlanta Hawks,102,Box Score,,
Fri Nov 3 2006,7:30 PM,Detroit Pistons,101,Boston Celtics,88,Box Score,,
Fri Nov 3 2006,7:30 PM,Sacramento Kings,89,Chicago Bulls,88,Box Score,,
Fri Nov 3 2006,7:00 PM,Minnesota Timberwolves,112,Denver Nuggets,109,Box Score,,
Fri Nov 3 2006,7:30 PM,Portland Trail Blazers,89,Golden State Warriors,102,Box Score,,
