Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sun Dec 25 2011,1:30 pm,Miami Heat,105,Dallas Mavericks,94,Box Score,,
Sun Dec 25 2011,7:30 pm,Los Angeles Clippers,105,Golden State Warriors,86,Box Score,,
Sun Dec 25 2011,2:00 pm,Chicago Bulls,88,Los Angeles Lakers,87,Box Score,,
Sun Dec 25 2011,12:00 pm,Boston Celtics,104,New York Knicks,106,Box Score,,
Sun Dec 25 2011,7:00 pm,Orlando Magic,89,Oklahoma City Thunder,97,Box Score,,
Mon Dec 26 2011,7:00 pm,Milwaukee Bucks,95,Charlotte Bobcats,96,Box Score,,
Mon Dec 26 2011,7:00 pm,Toronto Raptors,104,Cleveland Cavaliers,96,Box Score,,
Mon Dec 26 2011,7:30 pm,Denver Nuggets,115,Dallas Mavericks,93,Box Score,,
Mon Dec 26 2011,7:30 pm,Chicago Bulls,91,Golden State Warriors,99,Box Score,,
Mon Dec 26 2011,7:00 pm,Detroit Pistons,79,Indiana Pacers,91,Box Score,,
Mon Dec 26 2011,7:00 pm,Oklahoma City Thunder,104,Minnesota Timberwolves,100,Box Score,,
Mon Dec 26 2011,7:00 pm,Houston Rockets,95,Orlando Magic,104,Box Score,,
Mon Dec 26 2011,7:00 pm,New Orleans Hornets,85,Phoenix Suns,84,Box Score,,
Mon Dec 26 2011,7:00 pm,Philadelphia 76ers,103,Portland Trail Blazers,107,Box Score,,
Mon Dec 26 2011,7:00 pm,Los Angeles Lakers,91,Sacramento Kings,100,Box Score,,
Mon Dec 26 2011,7:30 pm,Memphis Grizzlies,82,San Antonio Spurs,95,Box Score,,
Mon Dec 26 2011,7:00 pm,New Jersey Nets,90,Washington Wizards,84,Box Score,,
Tue Dec 27 2011,7:30 pm,Utah Jazz,71,Los Angeles Lakers,96,Box Score,,
Tue Dec 27 2011,8:00 pm,Boston Celtics,107,Miami Heat,115,Box Score,,
Tue Dec 27 2011,7:30 pm,Minnesota Timberwolves,95,Milwaukee Bucks,98,Box Score,,
Tue Dec 27 2011,7:30 pm,Atlanta Hawks,106,New Jersey Nets,70,Box Score,,
Tue Dec 27 2011,7:00 pm,Sacramento Kings,79,Portland Trail Blazers,101,Box Score,,
Wed Dec 28 2011,7:30 pm,Washington Wizards,83,Atlanta Hawks,101,Box Score,,
Wed Dec 28 2011,7:00 pm,Miami Heat,96,Charlotte Bobcats,95,Box Score,,
Wed Dec 28 2011,7:00 pm,Utah Jazz,100,Denver Nuggets,117,Box Score,,
Wed Dec 28 2011,7:30 pm,Cleveland Cavaliers,105,Detroit Pistons,89,Box Score,,
Wed Dec 28 2011,7:30 pm,New York Knicks,78,Golden State Warriors,92,Box Score,,
Wed Dec 28 2011,7:00 pm,Oklahoma City Thunder,98,Memphis Grizzlies,95,Box Score,,
Wed Dec 28 2011,7:00 pm,Boston Celtics,78,New Orleans Hornets,97,Box Score,,
Wed Dec 28 2011,7:00 pm,Philadelphia 76ers,103,Phoenix Suns,83,Box Score,,
Wed Dec 28 2011,7:30 pm,Los Angeles Clippers,90,San Antonio Spurs,115,Box Score,,
Wed Dec 28 2011,6:00 pm,Indiana Pacers,90,Toronto Raptors,85,Box Score,,
Thu Dec 29 2011,7:00 pm,San Antonio Spurs,85,Houston Rockets,105,Box Score,,
Thu Dec 29 2011,7:30 pm,New York Knicks,82,Los Angeles Lakers,99,Box Score,,
Thu Dec 29 2011,7:00 pm,Dallas Mavericks,102,Oklahoma City Thunder,104,Box Score,,
Thu Dec 29 2011,7:00 pm,New Jersey Nets,78,Orlando Magic,94,Box Score,,
Thu Dec 29 2011,7:00 pm,Denver Nuggets,102,Portland Trail Blazers,111,Box Score,,
Thu Dec 29 2011,7:00 pm,Chicago Bulls,108,Sacramento Kings,98,Box Score,,
Fri Dec 30 2011,7:30 pm,New Jersey Nets,98,Atlanta Hawks,105,Box Score,,
Fri Dec 30 2011,7:30 pm,Detroit Pistons,85,Boston Celtics,96,Box Score,,
Fri Dec 30 2011,7:00 pm,Orlando Magic,100,Charlotte Bobcats,79,Box Score,,
Fri Dec 30 2011,7:30 pm,Toronto Raptors,86,Dallas Mavericks,99,Box Score,,
Fri Dec 30 2011,7:00 pm,Cleveland Cavaliers,91,Indiana Pacers,98,Box Score,OT,
Fri Dec 30 2011,7:30 pm,Chicago Bulls,114,Los Angeles Clippers,101,Box Score,,
