Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Thu Nov 6 2008,8:00 PM,Philadelphia 76ers,88,Orlando Magic,98,Box Score,,
Thu Nov 6 2008,7:30 PM,Houston Rockets,99,Portland Trail Blazers,101,Box Score,OT,
Fri Nov 7 2008,7:30 PM,Toronto Raptors,92,Atlanta Hawks,110,Box Score,,
Fri Nov 7 2008,7:30 PM,Milwaukee Bucks,89,Boston Celtics,101,Box Score,,
Fri Nov 7 2008,7:00 PM,New Orleans Hornets,89,Charlotte Bobcats,92,Box Score,,
Fri Nov 7 2008,7:30 PM,Phoenix Suns,83,Chicago Bulls,100,Box Score,,
Fri Nov 7 2008,7:30 PM,Indiana Pacers,107,Cleveland Cavaliers,111,Box Score,,
Fri Nov 7 2008,8:30 PM,Dallas Mavericks,105,Denver Nuggets,108,Box Score,,
Fri Nov 7 2008,7:30 PM,Memphis Grizzlies,109,Golden State Warriors,104,Box Score,,
Fri Nov 7 2008,7:30 PM,Houston Rockets,92,Los Angeles Clippers,83,Box Score,,
Fri Nov 7 2008,7:30 PM,Detroit Pistons,96,New Jersey Nets,103,Box Score,,
Fri Nov 7 2008,7:00 PM,Minnesota Timberwolves,109,Sacramento Kings,121,Box Score,,
Fri Nov 7 2008,7:00 PM,Miami Heat,99,San Antonio Spurs,83,Box Score,,
Fri Nov 7 2008,7:00 PM,Oklahoma City Thunder,97,Utah Jazz,104,Box Score,,
Fri Nov 7 2008,7:00 PM,New York Knicks,114,Washington Wizards,108,Box Score,,
Sat Nov 8 2008,7:30 PM,Cleveland Cavaliers,106,Chicago Bulls,97,Box Score,,
Sat Nov 8 2008,7:00 PM,New Jersey Nets,80,Indiana Pacers,98,Box Score,,
Sat Nov 8 2008,7:30 PM,Phoenix Suns,104,Milwaukee Bucks,96,Box Score,,
Sat Nov 8 2008,7:00 PM,Miami Heat,89,New Orleans Hornets,100,Box Score,,
Sat Nov 8 2008,7:00 PM,Washington Wizards,81,Orlando Magic,106,Box Score,,
Sat Nov 8 2008,7:00 PM,Minnesota Timberwolves,93,Portland Trail Blazers,97,Box Score,,
Sun Nov 9 2008,1:00 PM,Toronto Raptors,89,Charlotte Bobcats,79,Box Score,,
Sun Nov 9 2008,6:00 PM,Memphis Grizzlies,90,Denver Nuggets,100,Box Score,,
Sun Nov 9 2008,6:00 PM,Boston Celtics,88,Detroit Pistons,76,Box Score,,
Sun Nov 9 2008,12:30 PM,Dallas Mavericks,92,Los Angeles Clippers,103,Box Score,,
Sun Nov 9 2008,6:30 PM,Houston Rockets,82,Los Angeles Lakers,111,Box Score,,
Sun Nov 9 2008,3:00 PM,Utah Jazz,99,New York Knicks,107,Box Score,,
Sun Nov 9 2008,6:00 PM,Atlanta Hawks,89,Oklahoma City Thunder,85,Box Score,,
Sun Nov 9 2008,6:00 PM,Golden State Warriors,98,Sacramento Kings,115,Box Score,,
Mon Nov 10 2008,7:30 PM,Toronto Raptors,87,Boston Celtics,94,Box Score,,
Mon Nov 10 2008,7:00 PM,Oklahoma City Thunder,99,Indiana Pacers,107,Box Score,,
Mon Nov 10 2008,7:30 PM,New Jersey Nets,94,Miami Heat,99,Box Score,,
Mon Nov 10 2008,7:00 PM,Portland Trail Blazers,106,Orlando Magic,99,Box Score,,
Mon Nov 10 2008,7:00 PM,Memphis Grizzlies,102,Phoenix Suns,107,Box Score,,
Tue Nov 11 2008,7:00 PM,Denver Nuggets,88,Charlotte Bobcats,80,Box Score,,
Tue Nov 11 2008,7:30 PM,Atlanta Hawks,113,Chicago Bulls,108,Box Score,,
Tue Nov 11 2008,7:00 PM,Milwaukee Bucks,93,Cleveland Cavaliers,99,Box Score,,
Tue Nov 11 2008,7:30 PM,Los Angeles Lakers,106,Dallas Mavericks,99,Box Score,,
Tue Nov 11 2008,7:30 PM,Minnesota Timberwolves,110,Golden State Warriors,113,Box Score,OT,
