Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Oct 30 2012,7:00 pm,Washington Wizards,84,Cleveland Cavaliers,94,Box Score,,
Tue Oct 30 2012,7:30 pm,Dallas Mavericks,99,Los Angeles Lakers,91,Box Score,,
Tue Oct 30 2012,8:00 pm,Boston Celtics,107,Miami Heat,120,Box Score,,
Wed Oct 31 2012,7:00 pm,Sacramento Kings,87,Chicago Bulls,93,Box Score,,
Wed Oct 31 2012,7:30 pm,Houston Rockets,105,Detroit Pistons,96,Box Score,,
Wed Oct 31 2012,7:30 pm,Memphis Grizzlies,92,Los Angeles Clippers,101,Box Score,,
Wed Oct 31 2012,7:00 pm,San Antonio Spurs,99,New Orleans Hornets,95,Box Score,,
Wed Oct 31 2012,7:00 pm,Denver Nuggets,75,Philadelphia 76ers,84,Box Score,,
Wed Oct 31 2012,7:00 pm,Golden State Warriors,87,Phoenix Suns,85,Box Score,,
Wed Oct 31 2012,7:30 pm,Los Angeles Lakers,106,Portland Trail Blazers,116,Box Score,,
Wed Oct 31 2012,7:00 pm,Indiana Pacers,90,Toronto Raptors,88,Box Score,,
Wed Oct 31 2012,7:00 pm,Dallas Mavericks,94,Utah Jazz,113,Box Score,,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Thu Nov 1 2012,8:30 pm,Oklahoma City Thunder,84,San Antonio Spurs,86,Box Score,,
Fri Nov 2 2012,7:30 pm,Houston Rockets,109,Atlanta Hawks,102,Box Score,,
Fri Nov 2 2012,7:30 pm,Milwaukee Bucks,99,Boston Celtics,88,Box Score,,
Fri Nov 2 2012,7:00 pm,Indiana Pacers,89,Charlotte Bobcats,90,Box Score,,
Fri Nov 2 2012,7:30 pm,Chicago Bulls,115,Cleveland Cavaliers,86,Box Score,,
Fri Nov 2 2012,7:30 pm,Memphis Grizzlies,104,Golden State Warriors,94,Box Score,,
Fri Nov 2 2012,7:30 pm,Los Angeles Clippers,105,Los Angeles Lakers,95,Box Score,,
Fri Nov 2 2012,7:00 pm,Sacramento Kings,80,Minnesota Timberwolves,92,Box Score,,
Fri Nov 2 2012,7:00 pm,Utah Jazz,86,New Orleans Hornets,88,Box Score,,
Fri Nov 2 2012,8:00 pm,Miami Heat,84,New York Knicks,104,Box Score,,
Fri Nov 2 2012,7:00 pm,Portland Trail Blazers,92,Oklahoma City Thunder,106,Box Score,,
Fri Nov 2 2012,7:00 pm,Denver Nuggets,89,Orlando Magic,102,Box Score,,
Fri Nov 2 2012,7:00 pm,Detroit Pistons,89,Phoenix Suns,92,Box Score,,
Sat Nov 3 2012,7:30 pm,Toronto Raptors,100,Brooklyn Nets,107,Box Score,,
Sat Nov 3 2012,7:00 pm,New Orleans Hornets,89,Chicago Bulls,82,Box Score,,
Sat Nov 3 2012,7:30 pm,Charlotte Bobcats,99,Dallas Mavericks,126,Box Score,,
Sat Nov 3 2012,7:00 pm,Portland Trail Blazers,95,Houston Rockets,85,Box Score,OT,
Sat Nov 3 2012,7:00 pm,Sacramento Kings,98,Indiana Pacers,106,Box Score,2OT,
Sat Nov 3 2012,7:30 pm,Golden State Warriors,114,Los Angeles Clippers,110,Box Score,,
Sat Nov 3 2012,7:30 pm,Denver Nuggets,116,Miami Heat,119,Box Score,,
Sat Nov 3 2012,7:30 pm,Cleveland Cavaliers,102,Milwaukee Bucks,105,Box Score,,
Sat Nov 3 2012,7:30 pm,Utah Jazz,100,San Antonio Spurs,110,Box Score,,
Sat Nov 3 2012,7:00 pm,Boston Celtics,89,Washington Wizards,86,Box Score,,
Sun Nov 4 2012,6:30 pm,Detroit Pistons,79,Los Angeles Lakers,108,Box Score,,
Sun Nov 4 2012,12:00 pm,Philadelphia 76ers,84,New York Knicks,100,Box Score,,
Sun Nov 4 2012,6:00 pm,Atlanta Hawks,104,Oklahoma City Thunder,95,Box Score,,
Sun Nov 4 2012,6:00 pm,Phoenix Suns,94,Orlando Magic,115,Box Score,,
Sun Nov 4 2012,6:00 pm,Minnesota Timberwolves,86,Toronto Raptors,105,Box Score,,
Mon Nov 5 2012,7:30 pm,Minnesota Timberwolves,107,Brooklyn Nets,96,Box Score,,
Mon Nov 5 2012,7:30 pm,Portland Trail Blazers,91,Dallas Mavericks,114,Box Score,,
Mon Nov 5 2012,7:30 pm,Cleveland Cavaliers,108,Los Angeles Clippers,101,Box Score,,
Mon Nov 5 2012,7:00 pm,Utah Jazz,94,Memphis Grizzlies,103,Box Score,,
Mon Nov 5 2012,7:30 pm,Phoenix Suns,99,Miami Heat,124,Box Score,,
Mon Nov 5 2012,7:00 pm,New York Knicks,110,Philadelphia 76ers,88,Box Score,,
Mon Nov 5 2012,7:00 pm,Golden State Warriors,92,Sacramento Kings,94,Box Score,,
Mon Nov 5 2012,7:30 pm,Indiana Pacers,79,San Antonio Spurs,101,Box Score,,
Tue Nov 6 2012,7:00 pm,Orlando Magic,93,Chicago Bulls,99,Box Score,,
Tue Nov 6 2012,7:00 pm,Detroit Pistons,97,Denver Nuggets,109,Box Score,,
Tue Nov 6 2012,7:00 pm,Toronto Raptors,88,Oklahoma City Thunder,108,Box Score,,
Wed Nov 7 2012,7:30 pm,Indiana Pacers,86,Atlanta Hawks,89,Box Score,,
Wed Nov 7 2012,7:30 pm,Washington Wizards,94,Boston Celtics,100,Box Score,OT,
Wed Nov 7 2012,7:00 pm,Phoenix Suns,117,Charlotte Bobcats,110,Box Score,,
Wed Nov 7 2012,7:30 pm,Toronto Raptors,104,Dallas Mavericks,109,Box Score,,
Wed Nov 7 2012,7:30 pm,Cleveland Cavaliers,96,Golden State Warriors,106,Box Score,,
Wed Nov 7 2012,7:00 pm,Denver Nuggets,93,Houston Rockets,87,Box Score,,
Wed Nov 7 2012,7:30 pm,San Antonio Spurs,84,Los Angeles Clippers,106,Box Score,,
Wed Nov 7 2012,7:30 pm,Brooklyn Nets,73,Miami Heat,103,Box Score,,
Wed Nov 7 2012,7:00 pm,Memphis Grizzlies,108,Milwaukee Bucks,90,Box Score,,
Wed Nov 7 2012,7:00 pm,Orlando Magic,75,Minnesota Timberwolves,90,Box Score,,
Wed Nov 7 2012,7:00 pm,Philadelphia 76ers,77,New Orleans Hornets,62,Box Score,,
Wed Nov 7 2012,7:00 pm,Detroit Pistons,103,Sacramento Kings,105,Box Score,,
Wed Nov 7 2012,7:00 pm,Los Angeles Lakers,86,Utah Jazz,95,Box Score,,
Thu Nov 8 2012,7:00 pm,Oklahoma City Thunder,97,Chicago Bulls,91,Box Score,,
Thu Nov 8 2012,7:30 pm,Los Angeles Clippers,103,Portland Trail Blazers,90,Box Score,,
Fri Nov 9 2012,7:30 pm,Miami Heat,95,Atlanta Hawks,89,Box Score,,
Fri Nov 9 2012,7:30 pm,Philadelphia 76ers,106,Boston Celtics,100,Box Score,,
Fri Nov 9 2012,8:30 pm,Utah Jazz,84,Denver Nuggets,104,Box Score,,
Fri Nov 9 2012,7:30 pm,Golden State Warriors,77,Los Angeles Lakers,101,Box Score,,
Fri Nov 9 2012,7:00 pm,Houston Rockets,85,Memphis Grizzlies,93,Box Score,,
Fri Nov 9 2012,7:00 pm,Indiana Pacers,94,Minnesota Timberwolves,96,Box Score,,
Fri Nov 9 2012,7:00 pm,Charlotte Bobcats,99,New Orleans Hornets,107,Box Score,,
Fri Nov 9 2012,7:30 pm,Dallas Mavericks,94,New York Knicks,104,Box Score,,
Fri Nov 9 2012,7:00 pm,Detroit Pistons,94,Oklahoma City Thunder,105,Box Score,,
Fri Nov 9 2012,7:00 pm,Brooklyn Nets,107,Orlando Magic,68,Box Score,,
Fri Nov 9 2012,7:00 pm,Cleveland Cavaliers,105,Phoenix Suns,107,Box Score,,
Fri Nov 9 2012,7:00 pm,San Antonio Spurs,97,Sacramento Kings,86,Box Score,,
Fri Nov 9 2012,7:00 pm,Milwaukee Bucks,101,Washington Wizards,91,Box Score,,
Sat Nov 10 2012,7:30 pm,Dallas Mavericks,97,Charlotte Bobcats,101,Box Score,OT,
Sat Nov 10 2012,7:00 pm,Minnesota Timberwolves,80,Chicago Bulls,87,Box Score,,
Sat Nov 10 2012,7:30 pm,Denver Nuggets,107,Golden State Warriors,101,Box Score,2OT,
Sat Nov 10 2012,7:00 pm,Detroit Pistons,82,Houston Rockets,96,Box Score,,
