Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Oct 26 2010,7:30 PM,Miami Heat,80,Boston Celtics,88,Box Score,,
Tue Oct 26 2010,7:30 PM,Houston Rockets,110,Los Angeles Lakers,112,Box Score,,
Tue Oct 26 2010,7:00 PM,Phoenix Suns,92,Portland Trail Blazers,106,Box Score,,
Wed Oct 27 2010,7:00 PM,Boston Celtics,87,Cleveland Cavaliers,95,Box Score,,
Wed Oct 27 2010,7:30 PM,Charlotte Bobcats,86,Dallas Mavericks,101,Box Score,,
Wed Oct 27 2010,7:00 PM,Utah Jazz,88,Denver Nuggets,110,Box Score,,
Wed Oct 27 2010,7:30 PM,Houston Rockets,128,Golden State Warriors,132,Box Score,,
Wed Oct 27 2010,7:30 PM,Portland Trail Blazers,98,Los Angeles Clippers,88,Box Score,,
Wed Oct 27 2010,7:00 PM,Atlanta Hawks,119,Memphis Grizzlies,104,Box Score,,
Wed Oct 27 2010,7:00 PM,Sacramento Kings,117,Minnesota Timberwolves,116,Box Score,,
Wed Oct 27 2010,7:00 PM,Detroit Pistons,98,New Jersey Nets,101,Box Score,,
Wed Oct 27 2010,7:00 PM,Milwaukee Bucks,91,New Orleans Hornets,95,Box Score,,
Wed Oct 27 2010,7:00 PM,Chicago Bulls,95,Oklahoma City Thunder,106,Box Score,,
Wed Oct 27 2010,7:00 PM,Miami Heat,97,Philadelphia 76ers,87,Box Score,,
Wed Oct 27 2010,7:30 PM,Indiana Pacers,109,San Antonio Spurs,122,Box Score,,
Wed Oct 27 2010,7:00 PM,New York Knicks,98,Toronto Raptors,93,Box Score,,
Thu Oct 28 2010,8:00 PM,Washington Wizards,83,Orlando Magic,112,Box Score,,
Thu Oct 28 2010,8:30 PM,Phoenix Suns,110,Utah Jazz,94,Box Score,,
Fri Oct 29 2010,7:30 PM,New York Knicks,101,Boston Celtics,105,Box Score,,
Fri Oct 29 2010,7:00 PM,Indiana Pacers,104,Charlotte Bobcats,101,Box Score,,
Fri Oct 29 2010,7:30 PM,Memphis Grizzlies,91,Dallas Mavericks,90,Box Score,,
Fri Oct 29 2010,8:00 PM,Oklahoma City Thunder,105,Detroit Pistons,104,Box Score,,
Fri Oct 29 2010,7:30 PM,Los Angeles Clippers,91,Golden State Warriors,109,Box Score,,
Fri Oct 29 2010,8:00 PM,Orlando Magic,70,Miami Heat,96,Box Score,,
Fri Oct 29 2010,7:00 PM,Milwaukee Bucks,85,Minnesota Timberwolves,96,Box Score,,
Fri Oct 29 2010,7:00 PM,Sacramento Kings,100,New Jersey Nets,106,Box Score,,
Fri Oct 29 2010,7:00 PM,Denver Nuggets,95,New Orleans Hornets,101,Box Score,,
Fri Oct 29 2010,7:00 PM,Atlanta Hawks,104,Philadelphia 76ers,101,Box Score,,
Fri Oct 29 2010,7:30 PM,Los Angeles Lakers,114,Phoenix Suns,106,Box Score,,
Fri Oct 29 2010,7:00 PM,Cleveland Cavaliers,81,Toronto Raptors,101,Box Score,,
Sat Oct 30 2010,7:00 PM,Washington Wizards,95,Atlanta Hawks,99,Box Score,,
Sat Oct 30 2010,7:00 PM,Detroit Pistons,91,Chicago Bulls,101,Box Score,,
Sat Oct 30 2010,7:30 PM,Sacramento Kings,107,Cleveland Cavaliers,104,Box Score,,
Sat Oct 30 2010,7:30 PM,Denver Nuggets,107,Houston Rockets,94,Box Score,,
Sat Oct 30 2010,8:00 PM,Philadelphia 76ers,86,Indiana Pacers,99,Box Score,,
Sat Oct 30 2010,7:00 PM,Minnesota Timberwolves,89,Memphis Grizzlies,109,Box Score,,
Sat Oct 30 2010,7:30 PM,Charlotte Bobcats,88,Milwaukee Bucks,98,Box Score,,
Sat Oct 30 2010,7:30 PM,Portland Trail Blazers,100,New York Knicks,95,Box Score,,
Sat Oct 30 2010,7:30 PM,New Orleans Hornets,99,San Antonio Spurs,90,Box Score,,
Sun Oct 31 2010,12:30 PM,Dallas Mavericks,99,Los Angeles Clippers,83,Box Score,,
Sun Oct 31 2010,6:30 PM,Golden State Warriors,83,Los Angeles Lakers,107,Box Score,,
Sun Oct 31 2010,1:00 PM,Miami Heat,101,New Jersey Nets,78,Box Score,,
Sun Oct 31 2010,6:00 PM,Utah Jazz,120,Oklahoma City Thunder,99,Box Score,,
Mon Nov 1 2010,7:00 PM,Portland Trail Blazers,98,Chicago Bulls,110,Box Score,,
Mon Nov 1 2010,7:30 PM,San Antonio Spurs,97,Los Angeles Clippers,88,Box Score,,
Mon Nov 1 2010,7:00 PM,Toronto Raptors,108,Sacramento Kings,111,Box Score,,
Tue Nov 2 2010,7:00 PM,Atlanta Hawks,100,Cleveland Cavaliers,88,Box Score,,
Tue Nov 2 2010,7:30 PM,Boston Celtics,109,Detroit Pistons,86,Box Score,,
Tue Nov 2 2010,7:30 PM,Memphis Grizzlies,105,Los Angeles Lakers,124,Box Score,,
Tue Nov 2 2010,7:30 PM,Minnesota Timberwolves,97,Miami Heat,129,Box Score,,
Tue Nov 2 2010,7:00 PM,Portland Trail Blazers,90,Milwaukee Bucks,76,Box Score,,
Tue Nov 2 2010,7:00 PM,Philadelphia 76ers,115,Washington Wizards,116,Box Score,OT,
Wed Nov 3 2010,7:00 PM,Detroit Pistons,85,Atlanta Hawks,94,Box Score,,
Wed Nov 3 2010,8:00 PM,Milwaukee Bucks,102,Boston Celtics,105,Box Score,OT,
Wed Nov 3 2010,7:00 PM,Dallas Mavericks,102,Denver Nuggets,101,Box Score,,
Wed Nov 3 2010,7:30 PM,Memphis Grizzlies,109,Golden State Warriors,115,Box Score,,
Wed Nov 3 2010,7:30 PM,New Orleans Hornets,107,Houston Rockets,99,Box Score,,
Wed Nov 3 2010,7:30 PM,Oklahoma City Thunder,92,Los Angeles Clippers,107,Box Score,,
Wed Nov 3 2010,7:00 PM,Charlotte Bobcats,85,New Jersey Nets,83,Box Score,,
Wed Nov 3 2010,7:00 PM,Minnesota Timberwolves,86,Orlando Magic,128,Box Score,,
Wed Nov 3 2010,7:00 PM,Indiana Pacers,75,Philadelphia 76ers,101,Box Score,,
Wed Nov 3 2010,7:00 PM,San Antonio Spurs,112,Phoenix Suns,110,Box Score,,
Wed Nov 3 2010,7:30 PM,Los Angeles Lakers,112,Sacramento Kings,100,Box Score,,
Wed Nov 3 2010,7:00 PM,Toronto Raptors,108,Utah Jazz,125,Box Score,,
Thu Nov 4 2010,7:00 PM,New York Knicks,120,Chicago Bulls,112,Box Score,,
Thu Nov 4 2010,7:30 PM,Oklahoma City Thunder,107,Portland Trail Blazers,106,Box Score,OT,
Fri Nov 5 2010,8:00 PM,Chicago Bulls,105,Boston Celtics,110,Box Score,OT,
Fri Nov 5 2010,8:30 PM,Los Angeles Clippers,104,Denver Nuggets,111,Box Score,,
Fri Nov 5 2010,7:30 PM,Charlotte Bobcats,90,Detroit Pistons,97,Box Score,,
Fri Nov 5 2010,7:30 PM,Utah Jazz,78,Golden State Warriors,85,Box Score,,
Fri Nov 5 2010,7:00 PM,Milwaukee Bucks,94,Indiana Pacers,90,Box Score,,
Fri Nov 5 2010,7:30 PM,Toronto Raptors,103,Los Angeles Lakers,108,Box Score,,
Fri Nov 5 2010,7:00 PM,Atlanta Hawks,113,Minnesota Timberwolves,103,Box Score,,
Fri Nov 5 2010,7:00 PM,Miami Heat,93,New Orleans Hornets,96,Box Score,,
Fri Nov 5 2010,7:30 PM,Washington Wizards,91,New York Knicks,112,Box Score,,
Fri Nov 5 2010,7:00 PM,New Jersey Nets,90,Orlando Magic,105,Box Score,,
Fri Nov 5 2010,7:00 PM,Cleveland Cavaliers,123,Philadelphia 76ers,116,Box Score,,
Fri Nov 5 2010,7:00 PM,Memphis Grizzlies,118,Phoenix Suns,123,Box Score,2OT,
Sat Nov 6 2010,7:00 PM,Orlando Magic,91,Charlotte Bobcats,88,Box Score,,
Sat Nov 6 2010,8:00 PM,Denver Nuggets,103,Dallas Mavericks,92,Box Score,,
Sat Nov 6 2010,7:30 PM,New Jersey Nets,89,Miami Heat,101,Box Score,,
Sat Nov 6 2010,7:30 PM,New Orleans Hornets,87,Milwaukee Bucks,81,Box Score,,
Sat Nov 6 2010,7:00 PM,Toronto Raptors,84,Portland Trail Blazers,97,Box Score,,
Sat Nov 6 2010,7:00 PM,Memphis Grizzlies,100,Sacramento Kings,91,Box Score,,
