Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Wed Nov 5 2014,10:00 pm,Denver Nuggets,109,Sacramento Kings,131,Box Score,,
Wed Nov 5 2014,8:30 pm,Atlanta Hawks,92,San Antonio Spurs,94,Box Score,,
Wed Nov 5 2014,9:00 pm,Cleveland Cavaliers,100,Utah Jazz,102,Box Score,,
Wed Nov 5 2014,8:00 pm,Indiana Pacers,94,Washington Wizards,96,Box Score,OT,
Thu Nov 6 2014,8:00 pm,San Antonio Spurs,81,Houston Rockets,98,Box Score,,
Thu Nov 6 2014,10:30 pm,Dallas Mavericks,87,Portland Trail Blazers,108,Box Score,,
Fri Nov 7 2014,7:30 pm,Indiana Pacers,98,Boston Celtics,101,Box Score,,
Fri Nov 7 2014,7:30 pm,New York Knicks,99,Brooklyn Nets,110,Box Score,,
Fri Nov 7 2014,7:00 pm,Atlanta Hawks,119,Charlotte Hornets,122,Box Score,2OT,
Fri Nov 7 2014,10:30 pm,Cleveland Cavaliers,110,Denver Nuggets,101,Box Score,,
Fri Nov 7 2014,7:30 pm,Milwaukee Bucks,95,Detroit Pistons,98,Box Score,,
Fri Nov 7 2014,8:00 pm,Memphis Grizzlies,91,Oklahoma City Thunder,89,Box Score,,
Fri Nov 7 2014,7:00 pm,Minnesota Timberwolves,103,Orlando Magic,112,Box Score,OT,
Fri Nov 7 2014,7:00 pm,Chicago Bulls,118,Philadelphia 76ers,115,Box Score,,
Fri Nov 7 2014,9:00 pm,Sacramento Kings,114,Phoenix Suns,112,Box Score,2OT,
Fri Nov 7 2014,7:30 pm,Washington Wizards,84,Toronto Raptors,103,Box Score,,
Fri Nov 7 2014,9:00 pm,Dallas Mavericks,105,Utah Jazz,82,Box Score,,
Sat Nov 8 2014,7:30 pm,New York Knicks,96,Atlanta Hawks,103,Box Score,,
Sat Nov 8 2014,8:00 pm,Boston Celtics,106,Chicago Bulls,101,Box Score,,
Sat Nov 8 2014,8:00 pm,Golden State Warriors,98,Houston Rockets,87,Box Score,,
Sat Nov 8 2014,7:00 pm,Washington Wizards,97,Indiana Pacers,90,Box Score,,
Sat Nov 8 2014,3:30 pm,Portland Trail Blazers,102,Los Angeles Clippers,106,Box Score,,
Sat Nov 8 2014,7:30 pm,Minnesota Timberwolves,92,Miami Heat,102,Box Score,,
Sat Nov 8 2014,8:30 pm,Memphis Grizzlies,92,Milwaukee Bucks,93,Box Score,,
Sat Nov 8 2014,8:30 pm,New Orleans Pelicans,100,San Antonio Spurs,99,Box Score,,
Sun Nov 9 2014,3:30 pm,Orlando Magic,96,Brooklyn Nets,104,Box Score,,
Sun Nov 9 2014,7:30 pm,Miami Heat,105,Dallas Mavericks,96,Box Score,,
Sun Nov 9 2014,6:00 pm,Utah Jazz,97,Detroit Pistons,96,Box Score,,
Sun Nov 9 2014,9:30 pm,Charlotte Hornets,92,Los Angeles Lakers,107,Box Score,,
Sun Nov 9 2014,7:00 pm,Sacramento Kings,93,Oklahoma City Thunder,101,Box Score,,
Sun Nov 9 2014,8:00 pm,Golden State Warriors,95,Phoenix Suns,107,Box Score,,
Sun Nov 9 2014,9:00 pm,Denver Nuggets,100,Portland Trail Blazers,116,Box Score,,
Sun Nov 9 2014,7:00 pm,Philadelphia 76ers,88,Toronto Raptors,120,Box Score,,
Mon Nov 10 2014,8:00 pm,Detroit Pistons,91,Chicago Bulls,102,Box Score,,
Mon Nov 10 2014,7:00 pm,New Orleans Pelicans,111,Cleveland Cavaliers,118,Box Score,,
Mon Nov 10 2014,7:00 pm,Utah Jazz,86,Indiana Pacers,97,Box Score,,
Mon Nov 10 2014,10:30 pm,San Antonio Spurs,89,Los Angeles Clippers,85,Box Score,,
Mon Nov 10 2014,7:30 pm,Atlanta Hawks,91,New York Knicks,85,Box Score,,
Tue Nov 11 2014,8:30 pm,Sacramento Kings,98,Dallas Mavericks,106,Box Score,,
Tue Nov 11 2014,10:30 pm,San Antonio Spurs,113,Golden State Warriors,100,Box Score,,
