Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Oct 27 2009,7:30 PM,Boston Celtics,95,Cleveland Cavaliers,89,Box Score,,
Tue Oct 27 2009,7:30 PM,Washington Wizards,102,Dallas Mavericks,91,Box Score,,
Tue Oct 27 2009,7:30 PM,Los Angeles Clippers,92,Los Angeles Lakers,99,Box Score,,
Tue Oct 27 2009,7:00 PM,Houston Rockets,87,Portland Trail Blazers,96,Box Score,,
Wed Oct 28 2009,7:00 PM,Indiana Pacers,109,Atlanta Hawks,120,Box Score,,
Wed Oct 28 2009,7:30 PM,Charlotte Bobcats,59,Boston Celtics,92,Box Score,,
Wed Oct 28 2009,8:30 PM,Utah Jazz,105,Denver Nuggets,114,Box Score,,
Wed Oct 28 2009,7:30 PM,Houston Rockets,108,Golden State Warriors,107,Box Score,,
Wed Oct 28 2009,7:30 PM,Phoenix Suns,109,Los Angeles Clippers,107,Box Score,,
Wed Oct 28 2009,7:00 PM,Detroit Pistons,96,Memphis Grizzlies,74,Box Score,,
Wed Oct 28 2009,7:30 PM,New York Knicks,93,Miami Heat,115,Box Score,,
Wed Oct 28 2009,7:00 PM,New Jersey Nets,93,Minnesota Timberwolves,95,Box Score,,
Wed Oct 28 2009,7:00 PM,Sacramento Kings,89,Oklahoma City Thunder,102,Box Score,,
Wed Oct 28 2009,7:00 PM,Philadelphia 76ers,106,Orlando Magic,120,Box Score,,
Wed Oct 28 2009,7:00 PM,New Orleans Hornets,96,San Antonio Spurs,113,Box Score,,
Wed Oct 28 2009,7:00 PM,Cleveland Cavaliers,91,Toronto Raptors,101,Box Score,,
Thu Oct 29 2009,7:00 PM,San Antonio Spurs,85,Chicago Bulls,92,Box Score,,
Thu Oct 29 2009,7:30 PM,Denver Nuggets,97,Portland Trail Blazers,94,Box Score,,
Fri Oct 30 2009,7:30 PM,Washington Wizards,89,Atlanta Hawks,100,Box Score,,
Fri Oct 30 2009,8:00 PM,Chicago Bulls,90,Boston Celtics,118,Box Score,,
Fri Oct 30 2009,7:00 PM,New York Knicks,100,Charlotte Bobcats,102,Box Score,2OT,
Fri Oct 30 2009,8:00 PM,Oklahoma City Thunder,91,Detroit Pistons,83,Box Score,,
Fri Oct 30 2009,8:00 PM,Miami Heat,96,Indiana Pacers,83,Box Score,,
Fri Oct 30 2009,7:30 PM,Dallas Mavericks,94,Los Angeles Lakers,80,Box Score,,
Fri Oct 30 2009,7:00 PM,Toronto Raptors,107,Memphis Grizzlies,115,Box Score,,
Fri Oct 30 2009,7:00 PM,Cleveland Cavaliers,104,Minnesota Timberwolves,87,Box Score,,
Fri Oct 30 2009,8:00 PM,Orlando Magic,95,New Jersey Nets,85,Box Score,,
Fri Oct 30 2009,7:00 PM,Sacramento Kings,92,New Orleans Hornets,97,Box Score,,
Fri Oct 30 2009,7:00 PM,Milwaukee Bucks,86,Philadelphia 76ers,99,Box Score,,
Fri Oct 30 2009,7:00 PM,Golden State Warriors,101,Phoenix Suns,123,Box Score,,
Fri Oct 30 2009,7:00 PM,Los Angeles Clippers,98,Utah Jazz,111,Box Score,,
Sat Oct 31 2009,7:30 PM,Charlotte Bobcats,79,Cleveland Cavaliers,90,Box Score,,
Sat Oct 31 2009,7:30 PM,Portland Trail Blazers,107,Houston Rockets,111,Box Score,,
